,Temple ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shey Peddy,8,16,4,10,4,6,1,4,1,3,4,3,0,2,0,21,0.0625,2.0
1,Kristen McCarthy,5,14,2,10,3,4,3,6,1,2,1,3,0,1,5,16,0.21428571428571427,1.0
2,Qwedia Wallace,3,10,2,8,1,2,2,2,1,0,2,2,0,5,2,9,0.2,0.4
3,Marli Bennett,1,2,1,1,0,1,2,2,1,1,1,0,0,2,5,4,1.0,0.5
4,Victoria Macaulay,1,8,1,8,0,0,0,0,2,6,0,1,1,1,4,2,0.0,0.0
10,School Totals,22,61,14,48,8,13,12,25,14,18,9,12,1,14,19,64,0.19672131147540983,0.6428571428571429
