,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Robertson,5,12,2,2,3,10,6,8,1,3,1,2,0,6,1,19,0.5,0.16666666666666666
1,Nevaeh Tot,0,3,0,1,0,2,0,0,1,1,1,1,0,2,0,0,0.0,0.5
2,Kennady Tucker,0,2,0,1,0,1,2,2,1,2,4,0,0,5,1,2,1.0,0.8
3,Liz Scott,2,8,2,8,0,0,7,12,5,3,1,0,4,3,3,11,0.875,0.3333333333333333
4,Madi Williams,4,8,4,7,0,1,1,2,1,1,1,2,1,4,3,9,0.125,0.25
10,School Totals,21,65,15,44,6,21,16,26,13,22,14,7,5,28,15,64,0.24615384615384617,0.5
