,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelly Faris,3,4,3,4,0,0,0,0,2,6,6,2,1,5,1,6,0.0,1.2
1,Bria Hartley,5,11,4,7,1,4,3,4,0,6,6,1,0,5,2,14,0.2727272727272727,1.2
2,Maya Moore,12,18,10,14,2,4,2,2,1,9,1,7,2,3,2,28,0.1111111111111111,0.3333333333333333
3,Stefanie Dolson,6,9,6,9,0,0,0,0,3,3,2,0,1,2,2,12,0.0,1.0
4,Tiffany Hayes,4,8,3,7,1,1,2,2,1,1,5,1,0,0,4,11,0.25,0.0
9,School Totals,32,54,28,44,4,10,7,10,7,29,24,13,4,17,14,75,0.12962962962962962,1.411764705882353
