,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Lou Samuelson,5,10,2,4,3,6,2,2,0,5,1,0,2,3,0,15,0.2,0.3333333333333333
1,Gabby Williams,7,12,7,12,0,0,7,11,2,6,2,2,4,5,4,21,0.5833333333333334,0.4
2,Saniya Chong,2,4,1,3,1,1,5,6,0,2,5,0,0,2,3,10,1.25,2.5
3,Napheesa Collier,4,11,3,9,1,2,2,4,3,5,1,2,2,0,4,11,0.18181818181818182,0.0
4,Kia Nurse,2,8,0,2,2,6,0,0,0,1,1,0,0,3,3,6,0.0,0.3333333333333333
7,School Totals,20,46,13,31,7,15,17,25,5,21,11,4,8,17,15,64,0.3695652173913043,0.6470588235294118
