,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Morgan William,6,17,5,13,1,4,0,0,2,1,6,3,0,2,3,13,0.0,3.0
1,Victoria Vivians,6,18,3,7,3,11,4,6,0,4,0,0,0,1,5,19,0.2222222222222222,0.0
2,Breanna Richardson,3,7,2,5,1,2,5,6,0,7,1,2,0,3,4,12,0.7142857142857143,0.3333333333333333
3,Dominique Dillingham,0,3,0,2,0,1,0,0,1,1,3,1,0,1,3,0,0.0,3.0
4,Teaira McCowan,5,9,5,9,0,0,0,0,3,5,0,2,1,1,3,10,0.0,0.0
10,School Totals,25,67,19,45,6,22,10,13,10,23,11,8,1,10,23,66,0.14925373134328357,1.1
