,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Italee Lucas,8,16,6,10,2,6,4,4,1,6,5,2,0,6,3,22,0.25,0.8333333333333334
1,Cetera DeGraffenreid,1,5,0,4,1,1,5,6,0,3,5,2,0,2,0,8,1.0,2.5
2,Jessica Breland,5,12,5,12,0,0,8,8,3,7,3,1,5,4,2,18,0.6666666666666666,0.75
3,Krista Gross,4,5,4,5,0,0,6,6,3,7,0,1,1,2,3,14,1.2,0.0
4,Chay Shegog,3,5,3,5,0,0,0,0,1,1,0,0,0,1,4,6,0.0,0.0
10,School Totals,28,58,25,51,3,7,27,30,14,38,19,6,8,22,21,86,0.46551724137931033,0.8636363636363636
