,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Dunlap,10,21,10,20,0,1,3,5,3,1,1,3,2,1,2,23,0.14285714285714285,1.0
1,Brittany Henderson,3,10,3,10,0,0,0,0,6,0,1,0,0,2,4,6,0.0,0.5
2,A'dia Mathies,3,13,2,10,1,3,6,7,0,1,1,1,1,2,1,13,0.46153846153846156,0.5
3,Keyla Snowden,5,16,3,6,2,10,0,0,0,2,1,2,0,0,4,12,0.0,0.0
4,Bernisha Pinkett,1,4,0,1,1,3,2,2,2,1,2,0,0,0,4,5,0.5,0.0
11,School Totals,28,81,23,58,5,23,13,17,14,9,10,8,3,8,23,74,0.16049382716049382,1.25
