,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Georgia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brett Benzio,37,.455,.500,.000,.500,15.1,7.5,12.0,0.0,0.0,6.2,17.0,15.2,91,101
1,Roshaunda Barnes,35,.447,.447,.421,.000,0.0,7.9,3.2,22.9,4.8,0.0,0.0,26.0,105,91
2,Chassity Brown,35,.363,.344,.563,.250,5.3,11.8,7.9,12.4,4.8,3.3,5.3,25.7,86,89
3,Tiffany Aidoo,31,.438,.438,.750,.000,0.0,13.3,5.4,6.7,5.4,0.0,33.3,18.5,61,88
4,Danielle Nunn,10,.000,.000,.000,.000,9.3,0.0,5.6,0.0,0.0,0.0,33.3,14.4,15,103
6,Olivia Grayson,22,.200,.200,.400,.000,8.5,12.5,10.1,34.3,5.1,0.0,37.5,17.4,57,88
7,Indira Kaljo,17,.444,.444,.889,.000,5.5,8.1,6.5,14.8,0.0,0.0,0.0,25.4,105,102
8,Janique Kautsky,13,.750,.750,1.000,.000,0.0,31.8,12.8,0.0,0.0,0.0,0.0,7.4,153,90
9,School Totals,200,.405,.406,.507,.116,27.9,55.2,38.9,47.8,15.5,8.6,13.1,100.0,83.1,90.1
