,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makenzie Meyer,6,9,2,2,4,7,2,4,0,3,4,0,0,2,3,18,0.2222222222222222,2.0
1,Kathleen Doyle,6,13,6,11,0,2,3,4,0,2,3,3,0,2,3,15,0.23076923076923078,1.5
2,Megan Gustafson,10,15,10,15,0,0,4,4,3,16,1,1,1,2,2,24,0.26666666666666666,0.5
3,Tania Davis,2,7,1,4,1,3,2,2,1,0,6,0,0,2,0,7,0.2857142857142857,3.0
4,Hannah Stewart,2,5,2,5,0,0,0,0,0,2,2,3,3,3,2,4,0.0,0.6666666666666666
8,School Totals,26,50,21,37,5,13,11,14,6,24,17,8,4,11,10,68,0.22,1.5454545454545454
