,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adily Martucci,1,4,1,3,0,1,0,0,0,3,4,0,2,0,2,2,0.0,0.0
1,Aryn McClure,5,9,5,9,0,0,1,2,0,6,4,1,2,4,3,11,0.1111111111111111,1.0
2,Jen Fay,9,16,8,11,1,5,1,2,0,2,1,4,0,2,3,20,0.0625,0.5
3,Paula Strautmane,5,6,5,6,0,0,5,6,0,3,2,1,0,2,2,15,0.8333333333333334,1.0
4,Edel Thornton,0,2,0,1,0,1,1,2,0,0,3,1,0,1,0,1,0.5,3.0
8,School Totals,28,53,25,40,3,13,9,14,3,23,20,8,4,11,14,68,0.16981132075471697,1.8181818181818181
