,Hampton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Malia Tate-DeFreitas,1,15,1,9,0,6,2,2,2,1,0,2,1,0,2,4,0.13333333333333333,0.0
1,Nicole Hamilton,7,26,6,20,1,6,4,5,3,5,1,4,2,4,4,19,0.15384615384615385,0.25
2,Alyssa Bennett,6,14,6,14,0,0,4,7,2,5,0,2,0,3,4,16,0.2857142857142857,0.0
3,Kenia Cole,3,13,2,8,1,5,2,4,1,3,2,1,0,3,5,9,0.15384615384615385,0.6666666666666666
4,Brielle Ward,0,2,0,2,0,0,2,2,3,3,0,0,0,0,0,2,1.0,0.0
12,School Totals,22,81,20,63,2,18,15,21,12,22,6,10,3,12,22,61,0.18518518518518517,0.5
