,Bowling Green State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Prochaska,5,16,5,15,0,1,9,9,2,3,1,0,0,3,4,19,0.5625,0.3333333333333333
1,Chrissy Steffen,5,6,4,4,1,2,5,5,1,4,2,0,1,3,1,16,0.8333333333333334,0.6666666666666666
2,Tracy Pontius,4,8,3,5,1,3,0,2,0,1,1,1,0,6,2,9,0.0,0.16666666666666666
3,Jen Uhl,2,2,2,2,0,0,0,0,1,2,0,0,0,3,2,4,0.0,0.0
4,Maggie Hennegan,1,5,1,5,0,0,0,0,0,0,0,1,2,3,3,2,0.0,0.0
11,School Totals,20,43,18,37,2,6,16,18,7,15,5,5,3,24,16,58,0.37209302325581395,0.20833333333333334
