,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Metra Walthour,3,9,3,4,0,5,3,4,0,2,3,2,0,2,1,9,0.3333333333333333,1.5
1,Alex Montgomery,5,13,3,9,2,4,2,4,3,8,2,3,0,2,2,14,0.15384615384615385,1.0
2,Sasha Goodlett,8,15,8,15,0,0,3,3,3,0,2,2,2,4,4,19,0.2,0.5
3,Chelsea Regins,2,4,2,4,0,0,1,1,2,2,1,0,1,1,4,5,0.25,1.0
4,Deja Foster,1,2,1,2,0,0,0,0,1,1,1,1,0,4,4,2,0.0,0.25
12,School Totals,27,58,25,49,2,9,13,18,15,15,11,13,3,16,18,69,0.22413793103448276,0.6875
