,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Iowa State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brynn Williamson,37,4,11,.364,0,0,,4,11,.364,0,0,,2,3,5,0,0,2,2,3,12
1,Jadda Buckley,36,3,12,.250,1,3,.333,2,9,.222,2,2,1.000,0,0,0,4,1,0,2,3,10
2,Seanna Johnson,36,1,8,.125,1,5,.200,0,3,.000,0,0,,3,6,9,0,4,0,3,1,2
3,Nikki Moody,35,1,11,.091,0,4,.000,1,7,.143,0,0,,0,3,3,5,1,1,7,5,3
4,Hallie Christofferson,32,4,10,.400,4,6,.667,0,4,.000,5,7,.714,1,3,4,1,3,1,3,4,13
6,Nicole (Kidd) Blaskowsky,12,1,4,.250,1,1,1.000,0,3,.000,0,0,,1,3,4,2,2,0,1,2,2
7,Fallon Ellis,12,1,3,.333,1,2,.500,0,1,.000,0,0,,2,1,3,0,1,0,1,0,2
8,School Totals,200,15,59,.254,8,21,.381,7,38,.184,7,9,.778,9,19,28,12,12,4,19,18,44
