,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Syracuse ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kiara Lewis,40,2,12,.167,2,8,.250,0,4,.000,4,4,1.000,2,0,2,1,1,0,5,1,8
1,Tiana Mangakahia,37,3,8,.375,2,4,.500,1,4,.250,0,0,,1,1,2,3,0,0,4,1,7
2,Emily Engstler,34,4,15,.267,2,10,.200,2,5,.400,2,4,.500,3,5,8,1,2,1,4,2,12
3,Digna Strautmane,25,1,5,.200,1,4,.250,0,1,.000,1,2,.500,1,2,3,0,0,0,2,5,3
4,Kamilla Cardoso,24,5,9,.556,5,9,.556,0,0,,2,2,1.000,4,3,7,0,1,1,1,4,12
6,Maeva Djaldi-Tabdi,25,1,3,.333,1,2,.500,0,1,.000,0,0,,1,3,4,1,0,2,1,3,2
7,Amaya Finklea-Guity,15,0,5,.000,0,5,.000,0,0,,3,4,.750,1,2,3,1,0,0,1,2,3
8,School Totals,200,16,57,.281,13,42,.310,3,15,.200,12,16,.750,13,16,29,7,4,4,18,18,47
