,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Danielle Robinson,40,.470,.458,.000,.042,2.4,11.6,7.1,40.0,0.0,0.0,10.9,32.7,99,107
1,Nyeshia Stevenson,38,.613,.571,.143,1.571,0.0,2.4,1.2,0.0,1.4,1.9,14.5,17.3,113,109
2,Amanda Thompson,29,.400,.400,.400,.000,9.9,19.2,14.6,0.0,3.8,0.0,6.3,26.3,89,94
3,Abi Olajuwon,28,.612,.667,.000,1.333,3.4,26.6,15.1,0.0,0.0,7.9,29.6,11.5,92,94
4,Jasmine Hartman,19,.250,.250,.833,.000,5.0,4.9,5.0,8.8,0.0,0.0,0.0,15.0,73,111
6,Carlee Roethlisberger,25,.150,.150,.400,.000,7.6,7.4,7.5,0.0,0.0,0.0,9.1,20.9,42,109
7,Joanna McFarland,16,1.000,1.000,.000,.000,17.9,17.4,17.6,0.0,3.4,0.0,0.0,5.9,203,95
8,Lauren Willis,5,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0,113
9,School Totals,200,.437,.412,.250,.235,26.2,60.5,43.5,26.9,5.5,7.4,10.6,100.0,90.4,100.0
