,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kayla Pedersen,40,.417,.417,.250,.417,4.7,16.7,10.6,18.2,1.4,0.0,6.6,17.3,102,95
1,Jeanette Pohlen,40,.134,.143,.429,.143,0.0,7.1,3.5,19.2,4.1,0.0,0.0,8.5,65,93
2,Nnemkadi Ogwumike,38,.609,.520,.080,.520,9.8,30.1,19.8,15.8,1.4,2.1,6.1,39.2,134,87
3,Rosalyn Gold-Onwude,32,.278,.278,.556,.000,5.8,8.9,7.4,5.1,0.0,0.0,10.0,14.2,74,101
4,Jayne Appel,27,.438,.417,.000,.500,20.7,14.1,17.4,7.6,2.0,2.9,17.0,29.7,93,92
6,JJ Hones,13,.508,.500,.500,1.000,7.2,7.3,7.2,0.0,4.2,0.0,0.0,10.1,125,91
7,Joslyn Tinkle,10,.000,.000,.500,.000,18.6,9.5,14.1,0.0,0.0,7.8,0.0,9.1,55,96
8,School Totals,200,.446,.399,.217,.391,39.5,73.8,56.5,48.1,9.6,5.9,7.9,100.0,100.0,90.4
