,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Hrynko,5,12,1,5,4,7,0,1,0,0,6,0,0,3,3,14,0.0,2.0
1,Megan Rogowski,6,15,0,3,6,12,4,4,0,4,2,3,1,1,3,22,0.26666666666666666,2.0
2,Megan Podkowa,7,9,3,5,4,4,0,0,3,2,1,1,3,2,2,18,0.0,0.5
3,Jasmine Penny,4,6,4,6,0,0,3,4,4,2,1,2,1,1,2,11,0.5,1.0
4,Chanise Jenkins,1,6,1,3,0,3,2,2,2,5,7,2,0,4,2,4,0.3333333333333333,1.75
9,School Totals,24,60,10,27,14,33,12,17,12,20,19,12,5,14,15,74,0.2,1.3571428571428572
