,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Skylar Diggins,6,13,4,10,2,3,1,3,0,2,7,2,2,8,3,15,0.07692307692307693,0.875
1,Brittany Mallory,2,6,2,2,0,4,0,1,0,2,6,1,0,1,3,4,0.0,6.0
2,Natalie Novosel,4,9,1,6,3,3,6,8,1,0,0,2,0,1,2,17,0.6666666666666666,0.0
3,Devereaux Peters,8,13,8,13,0,0,1,5,5,7,3,2,2,2,5,17,0.07692307692307693,1.5
4,Becca Bruszewski,2,4,2,4,0,0,8,8,1,5,2,0,1,2,4,12,2.0,1.0
11,School Totals,28,54,23,43,5,11,16,25,9,26,21,9,7,18,20,77,0.2962962962962963,1.1666666666666667
