,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Special Jennings,4,8,3,7,1,1,3,4,1,1,5,4,0,2,1,12,0.375,2.5
1,Amber Harris,6,13,4,11,2,2,0,0,1,9,0,0,2,6,3,14,0.0,0.0
2,Ta'Shia Phillips,10,13,10,13,0,0,2,4,8,6,0,0,1,2,3,22,0.15384615384615385,0.0
3,Tyeasha Moss,0,3,0,1,0,2,1,2,0,0,6,0,1,4,1,1,0.3333333333333333,1.5
4,April Phillips,1,2,1,2,0,0,0,0,0,2,2,3,0,3,1,2,0.0,0.6666666666666666
10,School Totals,28,58,21,43,7,15,11,16,13,25,17,8,5,21,13,74,0.1896551724137931,0.8095238095238095
