,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Vandersloot,3,8,3,6,0,2,0,0,2,5,11,5,1,6,3,6,0.0,1.8333333333333333
1,Vivian Frieson,2,8,2,6,0,2,5,6,0,4,1,2,2,3,2,9,0.625,0.3333333333333333
2,Heather Bowman,4,12,4,12,0,0,4,4,1,1,1,0,1,2,1,12,0.3333333333333333,0.5
3,Tiffanie Shives,4,10,1,4,3,6,0,0,0,2,0,1,0,0,0,11,0.0,0.0
4,Janelle Bekkering,0,1,0,0,0,1,1,2,0,1,0,2,0,3,2,1,1.0,0.0
11,School Totals,21,59,18,47,3,12,11,15,8,16,13,12,5,16,14,56,0.1864406779661017,0.8125
