,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Vivian Frieson,8,19,8,19,0,0,0,0,3,10,3,1,3,4,1,16,0.0,0.75
1,Heather Bowman,7,15,7,15,0,0,0,1,2,3,2,3,1,1,1,14,0.0,2.0
2,Courtney Vandersloot,4,9,4,5,0,4,1,2,1,1,15,5,1,6,1,9,0.1111111111111111,2.5
3,Tiffanie Shives,5,8,1,2,4,6,2,3,0,3,1,0,0,1,1,16,0.25,1.0
4,Janelle Bekkering,1,3,1,2,0,1,0,0,1,1,0,0,1,1,1,2,0.0,0.0
9,School Totals,36,75,30,58,6,17,4,8,10,26,23,11,6,16,12,82,0.05333333333333334,1.4375
