,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Italee Lucas,8,18,6,13,2,5,4,4,0,5,4,0,0,4,1,22,0.2222222222222222,1.0
1,Chay Shegog,4,10,4,10,0,0,5,6,2,4,0,1,1,2,2,13,0.5,0.0
2,Jessica Breland,1,13,1,13,0,0,0,2,3,4,1,1,4,1,1,2,0.0,1.0
3,Cetera DeGraffenreid,2,5,0,2,2,3,0,0,0,1,0,0,0,2,2,6,0.0,0.0
4,Krista Gross,0,4,0,2,0,2,0,0,1,3,1,0,0,0,2,0,0.0,0.0
9,School Totals,24,71,18,58,6,13,11,14,13,28,8,4,6,13,14,65,0.15492957746478872,0.6153846153846154
