,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Arike Ogunbowale,9,21,6,15,3,6,6,8,1,2,1,2,0,0,0,27,0.2857142857142857,0.0
1,Marina Mabrey,3,10,2,3,1,7,0,0,0,2,3,3,0,4,1,7,0.0,0.75
2,Jackie Young,10,15,8,11,2,4,10,11,5,6,0,1,1,5,3,32,0.6666666666666666,0.0
3,Jessica Shepard,7,14,7,14,0,0,1,2,5,6,5,0,0,4,3,15,0.07142857142857142,1.25
4,Kathryn Westbeld,3,7,3,5,0,2,2,2,1,5,5,1,1,1,2,8,0.2857142857142857,5.0
6,School Totals,33,70,27,51,6,19,19,23,13,21,14,7,3,15,11,91,0.2714285714285714,0.9333333333333333
