,Delaware ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Dickey,12,32,11,28,1,4,6,7,5,5,0,1,0,1,0,31,0.1875,0.0
1,Ty Battle,2,7,2,6,0,1,0,0,2,2,2,1,0,0,1,4,0.0,0.0
2,Tyi Skinner,3,8,1,3,2,5,2,2,0,0,4,0,0,3,3,10,0.25,1.3333333333333333
3,Paris McBride,2,11,2,6,0,5,0,0,1,2,5,3,0,2,4,4,0.0,2.5
4,Lizzie O'Leary,1,1,1,1,0,0,0,0,2,0,0,1,1,0,2,2,0.0,0.0
11,School Totals,28,78,21,53,7,25,8,9,13,15,11,6,2,10,15,71,0.10256410256410256,1.1
