,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Owusu,10,14,10,13,0,1,4,5,1,2,6,0,0,1,0,24,0.2857142857142857,6.0
1,Diamond Miller,8,12,6,7,2,5,5,5,1,4,3,3,1,3,2,23,0.4166666666666667,1.0
2,Angel Reese,5,12,5,12,0,0,5,5,3,6,1,0,1,1,2,15,0.4166666666666667,1.0
3,Katie Benzan,5,8,0,1,5,7,2,2,0,2,2,1,0,1,1,17,0.25,2.0
4,Chloe Bibby,4,6,1,2,3,4,0,0,1,3,2,1,0,0,3,11,0.0,0.0
9,School Totals,38,64,28,44,10,20,16,17,10,27,19,7,3,10,10,102,0.25,1.9
