,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Dillingham,1,7,1,7,0,0,1,1,0,1,2,3,3,1,2,3,0.14285714285714285,2.0
1,Victoria Vivians,8,23,6,14,2,9,1,1,1,6,1,2,0,3,1,19,0.043478260869565216,0.3333333333333333
2,Morgan William,1,5,1,5,0,0,4,4,0,1,1,0,1,2,3,6,0.8,0.5
3,Ketara Chapel,1,5,1,5,0,0,0,0,5,2,5,0,0,1,4,2,0.0,5.0
4,Chinwe Okorie,4,9,4,9,0,0,4,6,7,2,0,0,0,2,3,12,0.4444444444444444,0.0
11,School Totals,21,63,18,51,3,12,15,20,20,18,10,6,4,17,19,60,0.23809523809523808,0.5882352941176471
