,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Cox,10,16,10,14,0,2,2,3,5,6,5,2,2,2,2,22,0.125,2.5
1,DiDi Richards,7,10,7,10,0,0,2,3,4,6,6,6,0,3,3,16,0.2,2.0
2,Kalani Brown,6,11,6,11,0,0,2,3,2,5,1,0,3,2,3,14,0.18181818181818182,0.5
3,Chloe Jackson,7,16,7,15,0,1,0,0,0,5,3,2,0,3,4,14,0.0,1.0
4,Juicy Landrum,2,9,1,5,1,4,0,0,1,3,1,1,0,3,2,5,0.0,0.3333333333333333
12,School Totals,37,70,36,62,1,8,10,13,12,30,16,12,6,15,16,85,0.14285714285714285,1.0666666666666667
