,American ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jen Dumiak,8,13,7,10,1,3,6,6,0,4,9,0,0,6,2,23,0.46153846153846156,1.5
1,Arron Zimmerman,6,12,1,3,5,9,0,0,1,3,0,1,1,1,3,17,0.0,0.0
2,Shaquilla Curtis,1,6,1,5,0,1,1,2,4,1,4,4,2,3,3,3,0.16666666666666666,1.3333333333333333
3,Michelle Holmes,1,3,1,2,0,1,0,0,3,6,2,2,0,0,5,2,0.0,0.0
4,Emily Kinneston,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
8,School Totals,24,55,12,27,12,28,7,8,10,18,18,7,4,14,15,67,0.12727272727272726,1.2857142857142858
