,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jewell Loyd,7,11,6,9,1,2,0,0,2,5,0,0,0,0,1,15,0.0,0.0
1,Natalie Achonwa,6,10,6,10,0,0,3,3,2,4,3,1,1,0,1,15,0.3,0.0
2,Kayla McBride,3,8,1,3,2,5,1,1,0,1,4,0,0,1,0,9,0.125,4.0
3,Lindsay Allen,1,2,1,1,0,1,0,0,0,2,7,1,0,1,1,2,0.0,7.0
4,Ariel Braker,5,7,5,7,0,0,0,0,4,4,0,2,1,0,2,10,0.0,0.0
13,School Totals,38,64,28,46,10,18,7,10,14,25,23,8,4,13,18,93,0.109375,1.7692307692307692
