,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maya Moore,7,20,4,10,3,10,6,9,5,9,3,2,2,0,2,23,0.3,0.0
1,Kelly Faris,3,6,2,4,1,2,1,1,1,6,5,1,0,2,1,8,0.16666666666666666,2.5
2,Bria Hartley,6,14,3,6,3,8,2,3,1,2,6,0,0,5,4,17,0.14285714285714285,1.2
3,Tiffany Hayes,3,9,2,5,1,4,2,2,1,2,2,0,0,5,2,9,0.2222222222222222,0.4
4,Stefanie Dolson,3,10,3,10,0,0,1,2,7,6,0,1,0,3,1,7,0.1,0.0
6,School Totals,24,62,16,38,8,24,12,17,17,25,20,8,2,17,10,68,0.1935483870967742,1.1764705882352942
