,Chattanooga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keiana Gilbert,4,11,4,9,0,2,2,2,2,4,1,1,1,3,1,10,0.18181818181818182,0.3333333333333333
1,Aryanna Gilbert,5,9,5,6,0,3,0,0,2,2,1,2,0,5,1,10,0.0,0.2
2,Alicia Payne,2,6,2,6,0,0,1,1,2,0,5,0,0,5,4,5,0.16666666666666666,1.0
3,Queen Alford,2,12,1,8,1,4,0,0,0,3,0,3,0,2,2,5,0.0,0.0
4,Jasmine Joyner,7,10,6,8,1,2,2,2,0,4,0,0,1,1,5,17,0.2,0.0
7,School Totals,20,51,18,38,2,13,8,9,7,17,9,6,2,19,18,50,0.1568627450980392,0.47368421052631576
