,Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,C'eira Ricketts,4,15,3,13,1,2,4,4,4,1,5,1,0,1,1,13,0.26666666666666666,5.0
1,Ashley Daniels,3,12,3,12,0,0,2,2,5,7,3,1,1,1,1,8,0.16666666666666666,3.0
2,Lyndsay Harris,4,9,0,2,4,7,2,2,0,2,2,2,0,3,2,14,0.2222222222222222,0.6666666666666666
3,Sarah Watkins,2,4,2,3,0,1,2,3,0,2,0,0,0,1,2,6,0.5,0.0
4,Dominique Robinson,0,3,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0.0,0.0
12,School Totals,26,66,20,52,6,14,14,18,12,25,17,7,1,8,12,72,0.21212121212121213,2.125
