,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Dillingham,2,6,2,5,0,1,0,0,2,3,2,2,0,1,2,4,0.0,2.0
1,Morgan William,1,8,1,5,0,3,0,0,0,2,0,0,0,3,2,2,0.0,0.0
2,Victoria Vivians,3,15,3,12,0,3,0,0,2,1,1,0,0,2,3,6,0.0,0.5
3,Chinwe Okorie,0,5,0,5,0,0,0,0,1,1,1,1,0,1,3,0,0.0,1.0
4,Ketara Chapel,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0.0,0.0
12,School Totals,18,63,18,49,0,14,2,7,12,15,10,6,0,16,19,38,0.031746031746031744,0.625
