,Liberty ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Karly Buer,5,12,4,7,1,5,3,5,2,3,0,1,0,1,0,14,0.25,0.0
1,Emily Frazier,3,10,3,7,0,3,1,2,2,6,7,1,0,1,4,7,0.1,7.0
2,Ashley Rininger,8,15,8,15,0,0,3,4,5,8,0,3,0,3,3,19,0.2,0.0
3,Sadalia Ellis,0,6,0,4,0,2,0,0,0,0,1,0,0,3,1,0,0.0,0.3333333333333333
4,Katelyn Adams,1,2,1,2,0,0,1,2,1,1,0,0,0,1,4,3,0.5,0.0
11,School Totals,24,69,21,51,3,18,14,23,19,27,8,7,0,15,20,65,0.2028985507246377,0.5333333333333333
