,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taya Corosdale,2,11,1,3,1,8,0,1,3,6,1,0,0,1,1,5,0.0,1.0
1,Mikayla Pivec,6,14,6,13,0,1,5,8,3,6,3,0,2,1,4,17,0.35714285714285715,3.0
2,Katie McWilliams,0,4,0,1,0,3,0,0,1,4,1,0,0,2,0,0,0.0,0.5
3,Destiny Slocum,3,13,3,9,0,4,2,3,2,3,0,0,0,4,2,8,0.15384615384615385,0.0
4,Maddie Washington,3,5,3,5,0,0,0,0,1,5,1,0,0,1,2,6,0.0,1.0
8,School Totals,17,56,15,34,2,22,8,13,10,28,8,1,2,12,11,44,0.14285714285714285,0.6666666666666666
