,Seton Hall ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Daisha Simmons,4,12,3,10,1,2,0,1,1,4,4,1,0,2,2,9,0.0,2.0
1,Tabatha Richardson-Smith,6,20,2,9,4,11,2,4,1,2,1,3,1,3,4,18,0.1,0.3333333333333333
2,Janee Johnson,4,10,1,3,3,7,1,2,2,3,0,1,0,2,2,12,0.1,0.0
3,Ka-Deidre Simmons,0,5,0,3,0,2,5,7,3,3,8,2,0,4,5,5,1.0,2.0
4,Chizoba Ekedigwe,1,3,1,3,0,0,1,1,0,1,0,0,0,1,1,3,0.3333333333333333,0.0
10,School Totals,23,64,15,41,8,23,12,23,13,16,15,8,3,14,24,66,0.1875,1.0714285714285714
