,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emily Cady,6,15,5,12,1,3,2,3,5,6,2,0,2,2,3,15,0.13333333333333333,1.0
1,Rachel Theriot,4,13,4,10,0,3,2,2,0,3,12,2,0,2,0,10,0.15384615384615385,6.0
2,Hailie Sample,2,5,2,5,0,0,2,2,3,4,1,1,1,2,1,6,0.4,0.5
3,Jordan Hooper,9,15,6,12,3,3,2,2,3,8,0,1,0,4,2,23,0.13333333333333333,0.0
4,Tear'a Laudermill,4,19,1,9,3,10,2,2,0,3,1,1,0,0,3,13,0.10526315789473684,0.0
10,School Totals,25,68,18,49,7,19,17,19,11,27,17,7,3,11,12,74,0.25,1.5454545454545454
