,Fresno State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Thompson,5,12,4,8,1,4,3,4,0,9,3,2,0,3,1,14,0.25,1.0
1,Bree Farley,3,11,1,5,2,6,0,0,1,8,1,0,0,3,1,8,0.0,0.3333333333333333
2,Alex Furr,3,5,3,5,0,0,2,2,0,1,1,2,0,2,2,8,0.4,0.5
3,Robin Draper,1,4,0,1,1,3,0,0,0,1,0,2,0,0,4,3,0.0,0.0
4,Jacinta Vandenberg,1,2,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0.0,0.0
9,School Totals,21,59,17,41,4,18,9,14,4,27,8,7,3,14,19,55,0.15254237288135594,0.5714285714285714
