,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Carter,2,8,1,5,1,3,0,1,0,4,2,3,1,2,2,5,0.0,1.0
1,Tyra White,8,13,7,12,1,1,1,1,2,5,0,1,1,1,2,18,0.07692307692307693,0.0
2,Adaora Elonu,6,13,6,13,0,0,1,3,2,2,1,3,0,1,1,13,0.07692307692307693,1.0
3,Kelsey Bone,3,8,3,8,0,0,0,2,2,3,4,1,1,4,3,6,0.0,1.0
4,Alexia Standish,4,7,0,1,4,6,0,0,0,1,2,0,0,3,2,12,0.0,0.6666666666666666
12,School Totals,27,58,20,46,7,12,8,18,10,21,13,11,8,15,15,69,0.13793103448275862,0.8666666666666667
