,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caliya Robinson,10,16,10,15,0,1,3,3,2,14,4,1,2,2,3,23,0.1875,2.0
1,Mackenzie Engram,7,12,7,12,0,0,7,8,2,8,4,0,0,4,3,21,0.5833333333333334,1.0
2,Que Morrison,3,7,3,7,0,0,4,4,6,3,4,0,0,2,2,10,0.5714285714285714,2.0
3,Haley Clark,2,5,2,5,0,0,0,0,2,1,2,0,0,0,4,4,0.0,0.0
4,Taja Cole,1,5,1,5,0,0,2,2,0,1,1,0,0,2,3,4,0.4,0.5
10,School Totals,24,53,23,50,1,3,19,23,12,31,18,4,2,16,20,68,0.3584905660377358,1.125
