,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyasha Harris,0,6,0,5,0,1,0,0,0,4,2,1,0,3,1,0,0.0,0.6666666666666666
1,A'ja Wilson,11,18,11,18,0,0,5,8,4,4,0,0,0,2,1,27,0.2777777777777778,0.0
2,Bianca Jackson,4,9,4,8,0,1,0,0,0,2,2,2,0,2,2,8,0.0,1.0
3,Doniyah Cliney,2,5,1,1,1,4,0,0,0,1,2,0,0,3,2,5,0.0,0.6666666666666666
4,Alexis Jennings,7,10,7,10,0,0,1,3,1,2,2,2,1,0,1,15,0.1,0.0
9,School Totals,28,56,27,49,1,7,8,13,8,16,10,5,1,13,12,65,0.14285714285714285,0.7692307692307693
