,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Lou Samuelson,5,10,1,4,4,6,3,3,0,2,7,1,0,1,1,17,0.3,7.0
1,Kia Nurse,4,7,1,2,3,5,0,0,2,3,1,2,0,2,0,11,0.0,0.5
2,Gabby Williams,11,16,11,16,0,0,1,1,1,4,5,2,1,1,1,23,0.0625,5.0
3,Crystal Dangerfield,7,11,2,4,5,7,2,2,0,0,6,2,0,1,3,21,0.18181818181818182,6.0
4,Napheesa Collier,7,11,7,10,0,1,2,2,3,4,3,0,1,1,4,16,0.18181818181818182,3.0
11,School Totals,37,63,25,43,12,20,8,8,7,18,25,7,3,7,12,94,0.12698412698412698,3.5714285714285716
