,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natisha Hiedeman,4,13,3,8,1,5,0,0,1,4,3,2,0,1,0,9,0.0,3.0
1,Allazia Blockton,13,23,10,16,3,7,5,7,2,4,5,1,0,1,2,34,0.21739130434782608,5.0
2,Danielle King,2,12,1,5,1,7,0,1,0,1,2,0,0,2,2,5,0.0,1.0
3,Erika Davenport,5,9,5,9,0,0,1,2,6,3,1,2,0,0,4,11,0.1111111111111111,0.0
4,Amani Wilborn,1,3,1,3,0,0,4,7,1,1,4,0,0,2,1,6,1.3333333333333333,2.0
9,School Totals,28,68,22,46,6,22,10,17,12,14,15,7,1,7,14,72,0.14705882352941177,2.142857142857143
