,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mehryn Kraker,4,16,3,12,1,4,0,0,2,4,3,0,1,3,3,9,0.0,1.0
1,Allie LeClaire,6,13,6,12,0,1,2,4,0,2,0,3,0,2,1,14,0.15384615384615385,0.0
2,Kaili Lukan,3,7,3,7,0,0,6,6,0,5,0,1,0,1,3,12,0.8571428571428571,0.0
3,Jessica Lindstrom,4,8,3,5,1,3,2,2,5,3,0,1,0,1,3,11,0.25,0.0
4,Lexi Weitzer,1,3,1,3,0,0,0,0,1,1,0,0,0,0,2,2,0.0,0.0
9,School Totals,20,60,17,43,3,17,10,12,10,24,6,7,1,11,18,53,0.16666666666666666,0.5454545454545454
