,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Angie Bjorklund,28,.538,.538,.923,.000,0.0,4.3,2.2,12.0,2.1,0.0,7.1,23.3,150,71
1,Alyssia Brewer,24,.400,.400,.000,.000,10.1,35.4,22.7,6.8,2.5,4.3,9.1,21.4,113,54
2,Kelley Cain,22,.724,.818,.000,.273,44.1,22.0,33.1,0.0,0.0,9.3,24.5,34.6,107,63
3,Shekinna Stricklen,20,.609,.571,.429,.857,24.2,12.1,18.2,34.8,6.0,5.1,0.0,22.5,168,57
4,Alicia Manning,19,.333,.333,.000,.000,6.4,12.8,9.6,7.3,0.0,0.0,0.0,7.4,133,72
6,Glory Johnson,22,.404,.250,.000,.500,22.0,22.0,22.0,13.3,0.0,0.0,17.0,24.9,114,68
7,Taber Spani,20,.643,.643,.286,.000,6.1,6.1,6.1,17.4,3.0,5.1,30.0,23.3,106,66
8,Kamiko Williams,19,.400,.400,.000,.000,0.0,6.4,3.2,15.7,0.0,0.0,16.7,14.7,106,75
9,Briana Bass,19,.000,.000,.500,.000,6.4,12.8,9.6,20.4,3.1,0.0,0.0,4.9,122,65
10,Sydney Smallbone,7,.000,.000,1.000,.000,0.0,17.3,8.7,18.4,0.0,0.0,50.0,13.3,33,70
11,School Totals,200,.512,.500,.284,.194,63.6,75.8,69.7,58.1,9.0,12.8,15.1,100.0,111.9,62.7
