,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Smith,1,8,1,8,0,0,4,4,1,3,5,3,0,2,3,6,0.5,2.5
1,Victoria Dunlap,9,13,9,13,0,0,3,9,2,6,1,3,1,1,1,21,0.23076923076923078,1.0
2,Amani Franklin,4,9,4,6,0,3,0,2,2,5,1,0,1,0,1,8,0.0,0.0
3,A'dia Mathies,4,10,4,9,0,1,0,0,2,4,5,4,2,4,2,8,0.0,1.25
4,Keyla Snowden,1,8,0,3,1,5,7,8,0,2,0,1,0,1,2,10,0.875,0.0
9,School Totals,25,59,22,46,3,13,17,28,10,29,13,14,4,11,13,70,0.288135593220339,1.1818181818181819
