,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristen Confroy,0,1,0,0,0,1,0,0,2,1,0,3,0,1,1,0,0.0,0.0
1,Brionna Jones,8,16,8,16,0,0,0,0,7,8,2,4,2,1,4,16,0.0,2.0
2,Destiny Slocum,3,8,3,7,0,1,3,4,0,1,3,0,0,5,4,9,0.375,0.6
3,Shatori Walker-Kimbrough,6,18,6,15,0,3,4,4,1,2,2,3,2,5,2,16,0.2222222222222222,0.4
4,Kaila Charles,2,7,2,6,0,1,0,0,1,3,1,1,1,3,2,4,0.0,0.3333333333333333
11,School Totals,26,57,26,51,0,6,11,17,13,18,9,11,7,21,20,63,0.19298245614035087,0.42857142857142855
