,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tricia Liston,5,13,5,10,0,3,1,2,2,5,2,1,0,6,2,11,0.07692307692307693,0.3333333333333333
1,Elizabeth Williams,5,14,5,14,0,0,2,4,5,5,2,2,7,3,3,12,0.14285714285714285,0.6666666666666666
2,Haley Peters,5,9,4,7,1,2,0,1,1,5,2,1,0,0,1,11,0.0,0.0
3,Ka'lia Johnson,4,8,3,7,1,1,2,4,2,3,2,2,0,6,3,11,0.25,0.3333333333333333
4,Richa Jackson,3,6,3,6,0,0,1,4,1,4,1,3,0,4,1,7,0.16666666666666666,0.25
8,School Totals,27,58,25,52,2,6,9,19,14,25,11,9,8,21,15,65,0.15517241379310345,0.5238095238095238
