,Jacksonville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Briona Brown,6,16,3,9,3,7,2,2,0,5,0,3,0,3,1,17,0.125,0.0
1,Jasmyn Brown,1,2,1,2,0,0,2,2,0,4,0,1,0,0,3,4,1.0,0.0
2,Sherranda Reddick,1,7,1,4,0,3,2,2,0,1,0,0,0,4,4,4,0.2857142857142857,0.0
3,Kimberly Dawkins,0,3,0,3,0,0,0,0,1,3,0,0,1,2,5,0,0.0,0.0
4,Brandi Buie,1,4,0,2,1,2,0,0,0,3,2,0,0,5,3,3,0.0,0.4
8,School Totals,14,50,10,38,4,12,9,9,4,23,6,4,5,20,23,41,0.18,0.3
