,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bridget Carleton,10,16,9,14,1,2,10,10,2,8,1,1,0,2,2,31,0.625,0.5
1,Ashley Joens,3,15,3,10,0,5,3,4,4,1,3,0,0,0,4,9,0.2,0.0
2,Alexa Middleton,4,11,3,9,1,2,0,0,0,5,5,2,0,4,2,9,0.0,1.25
3,Madison Wise,0,6,0,2,0,4,2,2,0,1,0,0,0,1,0,2,0.3333333333333333,0.0
4,Kristin Scott,4,8,4,6,0,2,0,1,4,2,1,0,2,3,1,8,0.0,0.3333333333333333
9,School Totals,21,59,19,42,2,17,16,19,13,22,12,3,3,13,11,60,0.2711864406779661,0.9230769230769231
