,New Mexico State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tamera William,1,8,0,4,1,4,3,4,1,3,2,1,0,2,1,6,0.375,1.0
1,Zaire Williams,1,5,0,3,1,2,0,0,1,5,4,2,0,5,4,3,0.0,0.8
2,Moriah Mack,6,12,5,10,1,2,2,2,3,4,2,0,0,0,4,15,0.16666666666666666,0.0
3,Brooke Salas,9,14,5,7,4,7,4,5,1,3,1,1,0,5,4,26,0.2857142857142857,0.2
4,Brianna Freeman,4,9,3,8,1,1,1,2,0,2,1,1,0,1,1,10,0.1111111111111111,1.0
8,School Totals,22,52,14,36,8,16,12,17,7,19,11,7,1,17,15,64,0.23076923076923078,0.6470588235294118
