,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Karlie Samuelson,5,10,0,1,5,9,2,2,1,0,5,3,0,4,3,17,0.2,1.25
1,Erica McCall,3,10,3,9,0,1,3,3,5,7,0,0,3,1,2,9,0.3,0.0
2,Brittany McPhee,6,16,6,11,0,5,4,4,2,4,3,5,2,2,1,16,0.25,1.5
3,Briana Roberson,2,8,0,3,2,5,0,0,0,0,3,2,1,2,0,6,0.0,1.5
4,Kaylee Johnson,0,2,0,2,0,0,0,0,3,3,1,1,0,2,2,0,0.0,0.5
8,School Totals,26,62,18,41,8,21,12,14,16,21,18,12,12,15,15,72,0.1935483870967742,1.2
