,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Iowa State,22,13,22,18,7,82
1,Texas A&M,12,18,18,27,9,84
