,Utah ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Rees,4,6,4,6,0,0,3,4,3,7,0,0,0,0,0,11,0.5,0.0
1,Dru Gylten,2,2,2,2,0,0,2,2,0,5,11,0,0,6,4,6,1.0,1.8333333333333333
2,Jenna Johnson,4,10,4,8,0,2,4,6,1,1,0,0,0,3,3,12,0.4,0.0
3,Kennady McQueen,6,9,0,0,6,9,2,2,2,4,4,1,0,1,1,20,0.2222222222222222,4.0
4,Gianna Kneepkens,6,9,3,6,3,3,1,2,2,5,0,0,0,1,1,16,0.1111111111111111,0.0
10,School Totals,32,62,17,31,15,31,13,20,11,38,20,2,1,17,16,92,0.20967741935483872,1.1764705882352942
