,Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Ramirez,10,28,8,16,2,12,2,4,0,1,0,2,0,1,1,24,0.07142857142857142,0.0
1,Samara Spencer,7,15,6,12,1,3,3,4,0,5,3,2,1,2,2,18,0.2,1.5
2,Sasha Goforth,2,8,1,5,1,3,0,0,1,1,1,1,2,0,2,5,0.0,0.0
3,Makayla Daniels,7,15,7,11,0,4,4,7,2,1,0,1,0,2,4,18,0.26666666666666666,0.0
4,Jersey Wolfenbarger,0,1,0,1,0,0,0,0,1,3,0,0,1,0,1,0,0.0,0.0
8,School Totals,28,79,24,56,4,23,9,15,13,18,5,9,6,6,15,69,0.11392405063291139,0.8333333333333334
