,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Brown,5,13,3,7,2,6,4,4,2,6,1,4,0,3,0,16,0.3076923076923077,0.3333333333333333
1,Ivey Slaughter,4,8,4,8,0,0,2,2,3,6,1,2,1,0,1,10,0.25,0.0
2,Leticia Romero,6,10,4,7,2,3,3,4,1,0,6,1,0,4,3,17,0.3,1.5
3,Adut Bulgak,5,11,4,6,1,5,7,8,6,7,1,0,1,0,4,18,0.6363636363636364,0.0
4,Shakayla Thomas,3,11,3,11,0,0,0,0,1,1,0,0,0,4,2,6,0.0,0.0
8,School Totals,26,65,20,45,6,20,16,18,15,23,13,8,3,14,15,74,0.24615384615384617,0.9285714285714286
