,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Hrynko,3,16,2,7,1,9,4,4,1,4,4,2,0,4,2,11,0.25,1.0
1,Chanise Jenkins,4,10,2,4,2,6,0,0,0,1,3,0,0,1,2,10,0.0,3.0
2,Megan Podkowa,7,13,5,11,2,2,3,4,4,7,1,1,2,2,4,19,0.23076923076923078,0.5
3,Jessica January,5,12,3,6,2,6,0,0,1,2,5,2,0,3,2,12,0.0,1.6666666666666667
4,Centrese McGee,3,4,1,1,2,3,0,1,2,1,0,0,0,1,3,8,0.0,0.0
10,School Totals,25,70,15,36,10,34,7,9,10,20,15,6,2,12,17,67,0.1,1.25
