,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Boyd,4,12,4,12,0,0,7,10,0,3,7,3,1,7,3,15,0.5833333333333334,1.0
1,Afure Jemerigbe,8,15,7,11,1,4,0,0,1,1,0,1,0,4,3,17,0.0,0.0
2,Reshanda Gray,1,5,1,5,0,0,0,0,1,3,3,0,1,3,5,2,0.0,1.0
3,Mikayla Lyles,2,4,1,1,1,3,0,0,0,0,0,1,0,0,1,5,0.0,0.0
4,Justine Hartman,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.0,0.0
11,School Totals,22,56,20,47,2,9,10,14,10,23,12,6,6,18,20,56,0.17857142857142858,0.6666666666666666
