,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabriella Hanson,1,5,1,4,0,1,0,0,1,6,2,2,1,2,2,2,0.0,1.0
1,Mikayla Pivec,5,8,5,7,0,1,0,1,0,7,1,2,1,1,1,10,0.0,1.0
2,Sydney Wiese,1,8,0,0,1,8,4,4,0,5,6,0,1,3,2,7,0.5,2.0
3,Breanna Brown,6,10,6,10,0,0,0,0,5,2,1,1,3,0,0,12,0.0,0.0
4,Marie Gulich,4,10,4,10,0,0,2,4,1,6,1,0,3,4,0,10,0.2,0.25
9,School Totals,23,53,21,37,2,16,8,11,12,28,15,6,10,13,8,56,0.1509433962264151,1.1538461538461537
