,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Waytashek,5,13,4,9,1,4,3,4,0,5,2,0,0,0,1,14,0.23076923076923078,0.0
1,Macy Miller,6,12,6,10,0,2,2,2,1,5,4,0,0,2,1,14,0.16666666666666666,2.0
2,Kerri Young,4,7,3,3,1,4,0,0,0,1,2,1,0,0,3,9,0.0,0.0
3,Ellie Thompson,1,5,1,4,0,1,0,0,0,3,0,1,0,2,2,2,0.0,0.0
4,Mariah Clarin,4,7,4,7,0,0,0,2,0,4,1,0,0,1,5,8,0.0,1.0
10,School Totals,26,60,22,42,4,18,6,11,7,23,11,6,3,11,22,62,0.1,1.0
