,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ashley Barlow,29,.502,.458,.333,.167,8.6,3.6,5.9,15.9,1.7,0.0,0.0,20.2,124,82
1,Lindsay Schrader,28,.506,.500,.000,.667,0.0,22.6,12.2,10.0,1.8,3.2,11.4,14.2,102,73
2,Melissa Lechlitner,28,.273,.273,.182,.000,0.0,3.8,2.0,19.9,1.8,0.0,8.3,19.5,74,82
3,Skylar Diggins,23,.549,.250,.250,1.250,5.4,27.5,17.4,44.5,6.5,4.0,44.6,22.1,94,60
4,Erica Williamson,16,.667,.667,.000,.000,0.0,26.3,14.3,0.0,3.1,0.0,25.0,22.7,86,70
6,Becca Bruszewski,17,.588,.600,.100,.400,14.7,12.4,13.4,0.0,2.9,0.0,7.8,34.1,114,76
7,Brittany Mallory,17,.833,.833,.667,.000,0.0,12.4,6.7,8.3,0.0,0.0,0.0,8.0,167,82
8,Devereaux Peters,16,.606,.625,.000,.500,31.3,6.6,17.9,12.2,6.3,0.0,0.0,27.7,139,71
9,Natalie Novosel,16,1.186,1.250,.500,1.000,0.0,26.3,14.3,26.8,6.3,0.0,51.0,16.7,108,64
10,Kaila Turner,6,1.000,1.000,.000,.000,0.0,0.0,0.0,75.9,0.0,0.0,0.0,7.6,205,87
11,Fraderica Miller,2,1.026,1.000,.000,2.000,62.5,0.0,28.6,0.0,25.1,0.0,34.7,65.4,136,35
12,Alena Christiansen,2,,,,,0.0,52.6,28.6,0.0,0.0,0.0,,0.0,,67
13,School Totals,200,.574,.539,.172,.359,31.3,73.7,54.3,75.8,16.3,4.5,15.7,100.0,107.5,72.5
