,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rhyne Howard,5,12,3,8,2,4,2,3,4,5,5,4,1,3,2,14,0.16666666666666666,1.6666666666666667
1,Jazmine Massengill,2,4,2,3,0,1,0,0,1,5,5,1,1,4,3,4,0.0,1.25
2,Chasity Patterson,5,11,4,7,1,4,3,4,0,3,0,2,0,0,3,14,0.2727272727272727,0.0
3,KeKe McKinney,1,5,0,3,1,2,0,0,1,4,2,0,0,0,0,3,0.0,0.0
4,Tatyana Wyatt,2,6,1,5,1,1,0,0,2,3,0,2,1,1,0,5,0.0,0.0
13,School Totals,24,63,16,45,8,18,15,18,15,29,13,12,3,19,13,71,0.23809523809523808,0.6842105263157895
