,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'dia Mathies,6,10,3,6,3,4,0,0,1,1,7,2,1,1,1,15,0.0,7.0
1,Kastine Evans,1,6,0,2,1,4,2,2,6,4,3,1,0,2,0,5,0.3333333333333333,1.5
2,Bria Goss,3,9,1,6,2,3,2,4,0,3,3,0,0,1,2,10,0.2222222222222222,3.0
3,Amber Smith,1,3,1,3,0,0,1,3,0,2,3,1,0,3,3,3,0.3333333333333333,1.0
4,Samantha Drake,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,2,0.0,0.0
10,School Totals,27,61,15,40,12,21,13,22,12,26,18,9,2,12,14,79,0.21311475409836064,1.5
